agb_code,lci_name,ciqual_code,energy_kj,energy,water,proteins,carbohydrates,lipids,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,starch,fiber,polyols,alcohol,organic_acids,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,40_fatty_acids,60_fatty_acids,80_fatty_acids,100_fatty_acids,120_fatty_acids,140_fatty_acids,160_fatty_acids,180_fatty_acids,181_oleic_acid,182_linoleic_acid,183_alpha-linolenic_acid,204_arachidonic_acid,205_epa,206_dha,cholesterol,salt,calcium,copper,iron,iodine,magnesium,manganese,phosphorus,potassium,selenium,sodium,zinc,retinol,beta-carotene,vitamin_d,vitamin_e,vitamin_k1,vitamin_k2,vitamin_c,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12,source,is_energy_recalculated
24017,"Butter biscuit (cookie), with chocolate",24017,19500.0,4630.0,12.1,71.9,711.0,160.0,245.0,1.0,0.0,1.0,1.0,1.0,245.0,286.0,29.1,0.0,0.0,0.0,93.69999999999999,41.6,8.0,5.6000000000000005,2.6,1.4000000000000001,3.0,3.5,12.0,41.8,23.700000000000003,37.2,6.3,0.94,0.12,0.08,0.025,201.0,12.1,490.0,2.1,15.8,55.0,280.0,5.0,1250.0,1630.0,25.0,4900.0,5.8999999999999995,74.0,150.0,1.3,21.7,42.699999999999996,0.0,2.5,0.96,0.8899999999999999,5.8999999999999995,4.3,0.48,233.0,1.1,CALNUT2020_2020_07_07,
24034,Breakfast biscuit (cookie),24034,19000.0,4520.0,21.0,78.1,658.0,163.0,210.0,1.7000000000000002,0.5,2.1,3.0,0.5,203.0,404.0,55.0,0.0,0.0,0.67,28.3,88.0,38.9,0.1,0.05,0.1,0.1,0.3,0.7000000000000001,19.3,6.0,82.10000000000001,30.2,8.7,0.05,0.05,0.05,29.1,11.899999999999999,2500.0,1.6,40.0,55.0,1400.0,11.0,2400.0,1900.0,100.0,4770.0,9.399999999999999,105.0,25.0,1.3,32.1,169.0,0.0,2.5,0.33,0.1,3.0,7.199999999999999,0.71,139.0,1.3,CALNUT2020_2020_07_07,
24035,"Breakfast biscuit (cookie), reduced sugar",24035,19000.0,4530.0,25.2,76.8,663.0,160.0,202.0,1.1,0.38,2.9,1.9,1.9,194.0,459.0,63.3,0.0,0.0,0.0,44.0,49.1,15.8,0.1,0.16,0.5800000000000001,0.59,2.1,2.5,30.5,7.5,47.300000000000004,13.700000000000001,1.0,0.049,0.027000000000000003,0.031,201.0,6.800000000000001,2000.0,2.1,28.0,55.0,900.0,5.0,2000.0,1630.0,25.0,2700.0,5.8999999999999995,74.0,150.0,1.3,41.7,42.699999999999996,0.0,2.5,0.96,0.8899999999999999,5.8999999999999995,4.3,0.48,233.0,2.8000000000000003,CALNUT2020_2020_07_07,
24040,"Breakfast biscuit (cookie), with chocolate",24040,19300.0,4600.0,25.0,65.0,697.0,166.0,298.0,1.0,0.5,1.0,4.0,2.2,247.0,360.0,28.0,0.0,0.0,0.0,87.5,53.2,18.0,0.27,0.18,0.26,0.26,1.1,2.2,61.900000000000006,15.3,53.2,16.5,1.1,0.15,0.13,0.13,49.5,9.5,936.0,5.0,51.0,50.0,763.0,7.5,2320.0,2590.0,54.0,3800.0,9.0,10.0,250.0,1.0,33.5,42.699999999999996,0.0,2.5,10.1,0.8500000000000001,15.0,5.1,2.2,325.0,2.8000000000000003,CALNUT2020_2020_07_07,
24441,"Biscuit (cookie), cat tongue type",24441,18300.0,4340.0,29.8,56.6,779.0,107.0,403.0,1.0,0.0,3.9000000000000004,12.5,1.0,387.0,369.0,18.6,0.0,0.0,0.0,68.5,25.9,8.100000000000001,0.05,0.05,0.05,0.05,0.2,1.1,42.599999999999994,4.2,25.9,7.9,0.21999999999999997,0.01,0.0,0.05,670.0,5.699999999999999,218.0,1.2,6.0,20.0,154.0,4.0,840.0,1350.0,20.0,2290.0,3.0,10.0,40.0,2.5,11.0,42.699999999999996,0.0,2.5,0.4,0.9199999999999999,9.9,3.1,1.4000000000000001,410.0,1.1,CALNUT2020_2020_07_07,
24616,"Biscuit (cookie), thin, w fruits",24616,16100.0,3840.0,35.5,54.3,749.0,82.8,269.0,1.5,0.5,3.8,2.5,2.5,255.0,286.0,71.39999999999999,164.0,0.0,0.0,36.9,25.4,8.2,0.069,0.10999999999999999,0.4,0.41000000000000003,1.4000000000000001,1.7999999999999998,21.099999999999998,5.2,24.5,7.1,0.53,0.025,0.014,0.016,201.0,7.0,490.0,2.1,15.8,55.0,280.0,5.0,1250.0,1630.0,25.0,2960.0,5.8999999999999995,74.0,150.0,1.3,15.0,42.699999999999996,0.0,2.5,2.5,0.8899999999999999,5.8999999999999995,4.3,0.48,233.0,1.1,CALNUT2020_2020_07_07,
24010,"Biscuit (cookie), with vegetal fat",24010,18490.0,4419.0,12.5,72.30000000000001,747.0,118.0,217.0,2.0,,2.0,3.0,2.0,214.0,492.0,40.0,,0.0,0.0,66.8,34.0,8.5,2.2,1.1,0.8400000000000001,2.1,2.6,8.4,38.3,9.0,30.9,7.5,0.56,,,,214.0,7.199999999999999,577.0,1.6,21.6,60.0,345.0,9.0,1420.0,897.0,,2890.0,9.200000000000001,,,,,,,,,,,,,,,CIQUAL2020_2020_07_07_edited,True
24011,"Biscuit (cookie), assortment of miniature sweets and biscuits",24011,21600.0,5150.0,16.0,64.4,614.0,264.0,394.0,2.0,0.5,3.8,26.6,2.0,360.0,208.0,29.0,0.0,0.0,2.0,62.1,153.0,35.9,0.05,0.05,0.05,0.05,0.3,1.6,44.3,14.299999999999999,139.0,29.8,3.4000000000000004,0.5,0.8,0.6,201.0,4.6000000000000005,550.0,2.4,26.0,55.0,350.0,4.2,1100.0,2000.0,100.0,1850.0,6.6000000000000005,272.0,146.0,1.3,21.200000000000003,42.599999999999994,0.0,2.5,2.1,1.4000000000000001,11.399999999999999,4.5,0.31,487.0,1.0,CALNUT2020_2020_07_07,
24054,"Biscuit shortbread, with fruits",24054,19803.0,4733.0,33.0,59.3,676.0,193.0,310.0,10.0,,13.0,3.0,2.0,254.0,278.0,27.400000000000002,,0.0,0.0,110.0,56.5,17.2,0.65,0.97,8.8,4.8,35.5,16.5,36.3,6.800000000000001,56.5,16.599999999999998,0.59,0.1,0.1,0.1,255.0,4.9,350.0,1.9,10.0,200.0,320.0,7.1,1300.0,2100.0,200.0,1960.0,6.6000000000000005,254.0,108.0,2.5,22.0,19.9,,5.0,1.2,0.36,1.7999999999999998,2.3000000000000003,0.56,196.0,4.1,CIQUAL2020_2020_07_07_edited,True
24000,Biscuit (cookie),24000,20000.0,4770.0,42.0,69.0,650.0,206.0,247.0,0.0,0.14,0.36,1.5,0.0,245.0,403.0,20.299999999999997,0.0,0.0,0.0,60.9,82.8,21.299999999999997,0.0,1.4000000000000001,2.8000000000000003,2.8000000000000003,9.0,7.800000000000001,24.1,13.0,64.1,17.6,3.7,1.5e-15,0.0,0.0,650.0,6.3,265.0,1.3,15.8,23.0,160.0,6.6000000000000005,1520.0,1290.0,240.0,2520.0,6.2,0.0,0.0,4.0,7.6,59.0,0.0,0.0,0.75,1.9,20.6,3.4000000000000004,0.31,140.0,2.0,CALNUT2020_2020_07_07,
